pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
52=0.007s (0)/26=0.003s (-9.34e-005)
54=0.007s (0.0139)/27=0.003s (-0.00196)
56=0.007s (0.0139)/28=0.004s (0.00155)
58=0.007s (0.0193)/29=0.004s (-0.000339)
60=0.008s (0.0193)/30=0.004s (-0.00181)
62=0.008s (0.0124)/31=0.004s (0.00622)
64=0.008s (0.00607)/32=0.004s (0.00968)
66=0.008s (-0.00565)/33=0.004s (0.00624)
68=0.009s (0.00607)/34=0.004s (0.00448)
70=0.009s (0.0154)/35=0.004s (0.00836)
72=0.009s (0.009)/36=0.005s (0.00643)
74=0.009s (0.009)/37=0.005s (0.0001)
76=0.010s (0.0124)/38=0.005s (-0.000618)
78=0.010s (-0.00565)/39=0.005s (0.00164)
80=0.010s (0.0154)/40=0.005s (-0.00076)
82=0.010s (0.0232)/41=0.005s (-0.00394)
84=0.011s (0.0232)/42=0.005s (0.00486)
86=0.011s (0.0232)/43=0.005s (0.00433)
88=0.011s (0.0232)/44=0.006s (-0.00141)
90=0.011s (0.0193)/45=0.006s (-0.00278)
92=0.012s (0.00949)/46=0.006s (0.00275)
94=0.012s (0.0129)/47=0.006s (0.000695)
96=0.012s (0)/48=0.006s (-0.00387)
98=0.012s (-0.0139)/49=0.006s (0.00352)
100=0.013s (-0.0305)/50=0.006s (0.01)
102=0.013s (-0.0305)/51=0.006s (0.00962)
104=0.013s (-0.0305)/52=0.007s (0.00422)
106=0.013s (-0.034)/53=0.007s (0.00863)
108=0.014s (-0.0198)/54=0.007s (0.0102)
110=0.014s (-0.0286)/55=0.007s (0.00625)
112=0.014s (0.0344)/56=0.007s (0.00341)
114=0.014s (-0.00711)/57=0.007s (0.00347)
116=0.015s (0.0202)/58=0.007s (0.00811)
118=0.015s (0.0163)/59=0.007s (0.00462)
120=0.015s (0.0163)/60=0.008s (0.000178)
122=0.015s (0.0163)/61=0.008s (-0.000238)
124=0.016s (0.0363)/62=0.008s (0.00179)
126=0.016s (0.0363)/63=0.008s (-0.00301)
128=0.016s (0.0363)/64=0.008s (-0.00618)
130=0.016s (0.0324)/65=0.008s (-0.00555)
132=0.017s (0.028)/66=0.008s (-0.00389)
134=0.017s (0.0363)/67=0.008s (-0.00861)
136=0.017s (0.0241)/68=0.009s (-0.00583)
138=0.017s (0)/69=0.009s (0.000785)
140=0.018s (-0.0398)/70=0.009s (-0.00361)
142=0.018s (-0.0305)/71=0.009s (-0.00177)
144=0.018s (-0.0437)/72=0.009s (0.00463)
146=0.018s (-0.0613)/73=0.009s (0.00113)
148=0.019s (-0.0574)/74=0.009s (0.007)
150=0.019s (-0.0379)/75=0.009s (0.00709)
152=0.019s (-0.0139)/76=0.010s (0.00367)
154=0.019s (0.031)/77=0.010s (0.0142)
156=0.020s (0.0193)/78=0.010s (0.00977)
158=0.020s (0.0363)/79=0.010s (0.0077)
160=0.020s (0.031)/80=0.010s (0.00926)
162=0.020s (0.0461)/81=0.010s (0.00088)
164=0.021s (0.0363)/82=0.010s (-0.00194)
166=0.021s (0.0139)/83=0.010s (0.00198)
168=0.021s (0.0461)/84=0.011s (-0.000941)
170=0.021s (0.031)/85=0.011s (-0.00522)
172=0.022s (-0.0076)/86=0.011s (0.00436)
174=0.022s (0.0139)/87=0.011s (0.000846)
176=0.022s (0.0193)/88=0.011s (-0.00911)
178=0.022s (0.029)/89=0.011s (-0.00881)
180=0.023s (-0.0247)/90=0.011s (-0.00805)
182=0.023s (0)/91=0.011s (-0.00519)
184=0.023s (0.0403)/92=0.012s (-0.0177)
186=0.023s (0.0139)/93=0.012s (-0.0197)
188=0.024s (0.0559)/94=0.012s (-0.0117)
190=0.024s (0.0139)/95=0.012s (-0.0201)
192=0.024s (0.0241)/96=0.012s (-0.0142)
194=0.024s (0.0241)/97=0.012s (-0.0101)
196=0.025s (0.0193)/98=0.012s (-0.0161)
198=0.025s (-0.034)/99=0.012s (-0.0102)
200=0.025s (-0.0457)/100=0.013s (-0.0123)
202=0.025s (-0.0457)/101=0.013s (-0.0208)
204=0.026s (-0.0496)/102=0.013s (-0.011)
206=0.026s (-0.034)/103=0.013s (-0.00439)
208=0.026s (-0.0188)/104=0.013s (0.00327)
210=0.026s (-0.0135)/105=0.013s (-0.00266)
212=0.027s (0.052)/106=0.013s (-0.0114)
214=0.027s (0.0461)/107=0.013s (-0.00372)
216=0.027s (0.052)/108=0.014s (-0.000389)
218=0.027s (0.0139)/109=0.014s (-0.00117)
220=0.028s (0.0383)/110=0.014s (-0.00132)
222=0.028s (0.029)/111=0.014s (0.00653)
224=0.028s (0.0344)/112=0.014s (0.0053)
226=0.028s (0.0344)/113=0.014s (0.003)
228=0.029s (0.0193)/114=0.014s (0.0167)
230=0.029s (0.029)/115=0.014s (0.0201)
232=0.029s (0.0129)/116=0.015s (0.0181)
234=0.029s (-0.0227)/117=0.015s (0.0155)
236=0.030s (-0.0476)/118=0.015s (0.0155)
238=0.030s (-0.0076)/119=0.015s (0.0235)
240=0.030s (0.0193)/120=0.015s (0.0275)
242=0.030s (0.05)/121=0.015s (0.0118)
244=0.031s (0.0232)/122=0.015s (0.0258)
246=0.031s (-0.0188)/123=0.015s (0.027)
248=0.031s (0.0129)/124=0.016s (0.0096)
250=0.031s (0.0481)/125=0.016s (0.00996)
252=0.032s (0.0324)/126=0.016s (0.00991)
254=0.032s (-0.0179)/127=0.016s (0.00455)
256=0.032s (-0.0276)/128=0.016s (0.000257)
258=0.032s (-0.0379)/129=0.016s (-0.0234)
260=0.033s (-0.0227)/130=0.016s (-0.0201)
262=0.033s (0.0183)/131=0.016s (-0.0111)
264=0.033s (0.0232)/132=0.017s (-0.0269)
266=0.033s (0.05)/133=0.017s (-0.0195)
268=0.034s (0.0442)/134=0.017s (-0.0191)
270=0.034s (0.00803)/135=0.017s (-0.0355)
272=0.034s (-0.0437)/136=0.017s (-0.0375)
274=0.034s (-0.0379)/137=0.017s (-0.0237)
